Index,Date,Temperature F,Precipitation,Wind Speed (mph),Dew Point F,Sea Level Pressure (mBARs)
1,1/1/07,67.5,0,10.01,49,1017
2,2/1/07,63.1,0,5.52,49,1019
3,3/1/07,62.3,0,8.06,47.2,1019.1
4,4/1/07,62,0,15.31,40.3,1018.6
5,5/1/07,57.4,0,5.41,30.3,1020.1
6,6/1/07,58.7,0,10.59,28.7,1021
7,7/1/07,58.2,0,16.11,27.6,1020.2
8,8/1/07,57.9,0,7.48,31.3,1018.2
9,9/1/07,60.2,0,5.18,35.6,1018.8
10,10/1/07,62.7,0,8.63,38.3,1020.6
11,11/1/07,63.6,0,4.03,39.9,1017.8
12,12/1/07,63.1,0,8.98,44.1,1018.4
13,13/1/07,62.2,0,5.41,36.5,1018.7
14,14/1/07,66.7,0,10.59,48.2,1014.6
15,15/1/07,65.6,0,9.21,44.9,1014
16,16/1/07,64.4,0,8.86,44.8,1016
17,17/1/07,65.6,0,4.03,45.9,1018.5
18,18/1/07,69.1,0,5.98,47.2,1017.5
19,19/1/07,67.2,0,12.08,45.6,1018.2
20,20/1/07,66.8,0,5.06,43.8,1017.3
21,21/1/07,65.6,0,8.06,39.2,1019
22,22/1/07,64.3,0,3.45,38.3,1018.8
23,23/1/07,66.2,0,3.91,39.4,1018.7
24,24/1/07,67.1,0,10.93,43.7,1019
25,25/1/07,64.9266666666667,0,8.77666666666667,42.0566666666667,1018.06333333333
26,26/1/07,68.3,0,13.23,42.4,1016.1
27,27/1/07,71.1,0,11.51,45.9,1016.7
28,28/1/07,70.8,0,13.46,45.4,1017
29,29/1/07,70.5,0,12.66,51.9,1016.6
30,30/1/07,69.8,0,12.08,49.7,1017.3
31,31/1/07,69.8,0,7.48,47.6,1019.1
32,1/2/07,73,0,6.56,46.2,1016.6
33,2/2/07,72.5,0,3.8,53.8,1014.6
34,3/2/07,71.9,0,4.03,52.9,1013.3
35,4/2/07,73.3,0,4.03,55,1013.6
36,5/2/07,75.8,0,14.04,61.2,1010.9
37,6/2/07,73.5,0,7.71,61,1011.8
38,7/2/07,73.9,0,5.75,60.5,1012.8
39,8/2/07,74.5,0,4.26,56.3,1013.4
40,9/2/07,71.3,0.08,11.97,61.1,1011
41,10/2/07,67.1,0.12,7.13,52.7,1008
42,11/2/07,67.9,0,6.56,42.3,1009.2
43,12/2/07,69.6,0,6.9,49.1,1010.4
44,13/2/07,69.7,0,3.45,47.5,1010.3
45,14/2/07,70,0,5.18,42.1,1011.9
46,15/2/07,71.2,0,10.82,51.1,1012.3
47,16/2/07,69.9,0,4.95,52,1012.6
48,17/2/07,71.7,0,7.48,56.8,1012.2
49,18/2/07,72.7,0,4.37,58.7,1013
50,19/2/07,69,0,18.41,56.7,1017
51,20/2/07,70.2,0,14.38,55.5,1016.3
52,21/2/07,73.7,0.008695652173913,9.21,56.9,1014.5
53,22/2/07,71.5,0,16.11,56,1013.8
54,23/2/07,70.7,0.008695652173913,16.92,55.1,1012.2
55,24/2/07,73.9,0.008695652173913,14.96,49.7,1010.5
56,25/2/07,73.5,0.008695652173913,10.47,53.7,1011.6
57,26/2/07,76.1,0,11.16,59.6,1009.5
58,27/2/07,79.4,0.008695652173913,19.56,65.1,1007.3
59,28/2/07,73,0,9.21,64.6,1008.1
60,1/3/07,70.1,0,6.33,49.5,1012.2
61,2/3/07,72.9,0,0.81,43.5,1013.5
62,3/3/07,75.3,0,8.63,51.6,1012.4
63,4/3/07,73.1,0,8.86,53.9,1014.1
64,5/3/07,75.3,0,12.43,52.3,1016.1
65,6/3/07,79,0,7.71,50.5,1013.7
66,7/3/07,77.6,0,8.52,47.8,1010.3
67,8/3/07,76.7,0,14.38,56.7,1008
68,9/3/07,78.8,0,16.34,62.2,1008.4
69,10/3/07,76,0,11.16,61.5,1010.7
70,11/3/07,66,0.24,15.88,60.9,1010.1
71,12/3/07,70.1,0.93,8.75,62.1,1009.3
72,13/3/07,71.5,0,9.78,55.4,1011.9
73,14/3/07,71.6,0.055714285714286,5.29,52.1,1013.7
74,15/3/07,75.8,0,6.33,55.1,1013.9
75,16/3/07,78.6,0,6.67,53.4,1011.9
76,17/3/07,79.8,0,9.44,55.8,1010.5
77,18/3/07,81.5,0,16.11,53.7,1007.8
78,19/3/07,74,0.39,15.54,68.7,1008.8
79,20/3/07,76.7,0,13.81,57.4,1011.2
80,21/3/07,76,0,13.23,52.8,1010.8
81,22/3/07,77,0,10.47,53.9,1013.6
82,23/3/07,80,0.055714285714286,11.85,51.6,1014.8
83,24/3/07,81.4,0,8.29,48.4,1013.4
84,25/3/07,82.7,0.055714285714286,7.48,48,1011
85,26/3/07,84.3,0,7.71,52.7,1010
86,27/3/07,84.2,0,7.83,51.5,1011.3
87,28/3/07,84.1,0,7.71,53.8,1011
88,29/3/07,81.8,0,12.43,63.2,1009.5
89,30/3/07,83.2,0,15.54,60.9,1008.4
90,31/3/07,80.5,0,17.49,61.9,1008.5
91,1/4/07,82.6,0,12.08,51.6,1011
92,2/4/07,83.1,0,8.63,42.8,1011.4
93,3/4/07,85.1,0,6.56,42.5,1009.8
94,4/4/07,89.1,0,5.87,48.1,1008.8
95,5/4/07,92.6,0,12.08,53.1,1008.1
96,6/4/07,91.3,0,11.51,58.8,1007.5
97,7/4/07,90.7,0,9.21,57.4,1006.4
98,8/4/07,88,0,10.36,56.6,1007.5
99,9/4/07,88.8,0,11.74,58.8,1008
100,10/4/07,88.1,0,14.61,54,1007.2
101,11/4/07,85,0,17.26,66.9,1006.3
102,12/4/07,85.2,0,17.84,71.3,1004.7
103,13/4/07,88.2,0,13.58,70.4,1006.1
104,14/4/07,90.2,0,12.31,65.8,1007.5
105,15/4/07,93.2,0,10.93,59.7,1007.6
106,16/4/07,92.1,0,13.81,61.8,1007.1
107,17/4/07,89.9,0,15.77,66.7,1005.9
108,18/4/07,88,0,20.94,70.2,1006.3
109,19/4/07,87.6,0,15.54,66.6,1007.4
110,20/4/07,88.1,0,14.96,64.6,1008
111,21/4/07,91.4,0,15.42,60.9,1006.3
112,22/4/07,87.9,0,22.67,69.1,1005.6
113,23/4/07,86.8,0,22.44,72,1005.1
114,24/4/07,87.4,0,22.09,71.4,1005.7
115,25/4/07,85.8,0,22.09,71.7,1004.6
116,26/4/07,88.6,0,18.64,66.1,1006.6
117,27/4/07,87.7,0,18.76,72.4,1006.9
118,28/4/07,87.4,0,21.63,70.8,1005
119,29/4/07,90.2,0,17.84,66.6,1005.3
120,30/4/07,90.3,0,18.64,70.4,1006.5
121,1/5/07,89.1,0,14.38,73.1,1007.9
122,2/5/07,87.8,0,20.37,73.9,1005.2
123,3/5/07,87.8,0,18.07,74.3,1002
124,4/5/07,91.4,0,12.54,75.4,1002.7
125,5/5/07,94.7,0,11.85,68.8,1004.6
126,6/5/07,96.2,0,13.46,65.1,1003.1
127,7/5/07,90.2,0,21.29,74.5,1001.3
128,8/5/07,91.9,0,18.41,75.8,1001.2
129,9/5/07,99.6,0,16.46,64.6,1001.7
130,10/5/07,94.1,0,18.99,67,1003
